"","SUM_INDGAL","HUC_12","IWD_MGAL"
"701",1105152,10801010805,1.105152
"702",1841920,10801010806,1.84192
"703",52500,10801010901,0.0525
"704",2762880,10801010902,2.76288
"705",341692,10801010903,0.341692
"706",2640,10801020101,0.00264
"707",57780,10801020102,0.05778
"708",7920,10801020103,0.00792
"709",4400,10801020104,0.0044
"710",52500,10801020201,0.0525
"711",270420,10801020203,0.27042
"712",14960,10801020301,0.01496
"713",29920,10801020302,0.02992
"714",4400,10801020401,0.0044
"715",9859,10801020402,0.009859
"716",8800,10801020403,0.0088
"717",184192,10801030101,0.184192
"718",2762880,10801030102,2.76288
"719",762576,10801030201,0.762576
"720",107865,10801030202,0.107865
"721",1835,10801030203,0.001835
"722",11440,10801030204,0.01144
"723",4700,10801030205,0.0047
"724",2715,10801030206,0.002715
"725",955,10801030301,0.000955
"726",1910,10801030302,0.00191
"727",955,10801030303,0.000955
"728",2865,10801030304,0.002865
"729",40110,10801030403,0.04011
"730",1910,10801030501,0.00191
"731",4775,10801030502,0.004775
"732",2865,10801030503,0.002865
"733",2865,10801030505,0.002865
"734",6685,10801030506,0.006685
"735",3520,10801030601,0.00352
"736",10870,10801030602,0.01087
"737",1910,10801030701,0.00191
"738",942,10801030702,0.000942
"739",11460,10801030703,0.01146
"740",7536,10801040101,0.007536
"741",8478,10801040102,0.008478
"742",5652,10801040103,0.005652
"743",7536,10801040104,0.007536
"744",2865,10801040201,0.002865
"745",5730,10801040202,0.00573
"746",4775,10801040203,0.004775
"747",1910,10801040204,0.00191
"748",12246,10801040205,0.012246
"749",2826,10801040301,0.002826
"750",4710,10801040302,0.00471
"751",5652,10801040303,0.005652
"752",942,10801040304,0.000942
"753",21010,10801040401,0.02101
"754",40420,10801040402,0.04042
"755",7410,10801050101,0.00741
"756",17150,10801050102,0.01715
"757",13720,10801050103,0.01372
"758",6715,10801050104,0.006715
"759",17150,10801050105,0.01715
"760",27440,10801050106,0.02744
"761",14185,10801050201,0.014185
"762",8478,10801050202,0.008478
"763",21522,10801050203,0.021522
"764",5652,10801050301,0.005652
"765",15604,10801050302,0.015604
"766",10362,10801050401,0.010362
"767",9420,10801050402,0.00942
"768",34300,10801050501,0.0343
"769",22464,10801050502,0.022464
"770",58310,10801050503,0.05831
"771",1910,10801060101,0.00191
"772",10505,10801060102,0.010505
"773",955,10801060103,0.000955
"774",1910,10801060104,0.00191
"775",14325,10801060105,0.014325
"776",80300,10801060106,0.0803
"777",13430,10801060201,0.01343
"778",3430,10801060202,0.00343
"779",3430,10801060203,0.00343
"780",34300,10801060204,0.0343
"781",41160,10801060205,0.04116
"782",13720,10801060206,0.01372
"783",54880,10801060207,0.05488
"784",28120,10801060301,0.02812
"785",84095,10801060302,0.084095
"786",21090,10801060303,0.02109
"787",41160,10801060304,0.04116
"788",90370,10801060305,0.09037
"789",62030,10801060401,0.06203
"790",161690,10801060402,0.16169
"791",84360,10801060403,0.08436
"792",21090,10801060404,0.02109
"793",147630,10801060405,0.14763
"794",91390,10801060406,0.09139
"795",203870,10801060407,0.20387
"796",6860,10801060501,0.00686
"797",78310,10801060502,0.07831
"798",17150,10801060503,0.01715
"799",3430,10801060504,0.00343
"800",168070,10801060505,0.16807
"801",24010,10801060601,0.02401
"802",58310,10801060602,0.05831
"803",27800,10801060603,0.0278
"804",14060,10801060701,0.01406
"805",136660,10801060702,0.13666
"806",126566,10801060703,0.126566
"807",27800,10801070101,0.0278
"808",90350,10801070102,0.09035
"809",28120,10801070201,0.02812
"810",21090,10801070202,0.02109
"811",31578,10801070203,0.031578
"812",55240,10801070301,0.05524
"813",14953,10801070302,0.014953
"814",30959,10801070303,0.030959
"815",33065,10801070304,0.033065
"816",13900,10801070306,0.0139
"817",13900,10801070307,0.0139
"818",69500,10801070401,0.0695
"819",62550,10801070402,0.06255
"820",13900,10801070403,0.0139
"821",13900,10801070404,0.0139
"822",20850,10801070405,0.02085
"823",69500,10801070406,0.0695
"824",120898,10801070501,0.120898
"825",39599,10801070502,0.039599
"826",19665,10801070503,0.019665
"827",69500,10801070504,0.0695
"828",215971,10801070505,0.215971
"829",250200,10801070506,0.2502
"830",309338,10801070507,0.309338
"831",7030,10802010101,0.00703
"832",1311,10802010102,0.001311
"833",6555,10802010103,0.006555
"834",1311,10802010104,0.001311
"835",2622,10802010201,0.002622
"836",52440,10802010202,0.05244
"837",76038,10802010301,0.076038
"838",7866,10802010302,0.007866
"839",15732,10802010303,0.015732
"840",26220,10802010401,0.02622
"841",11799,10802010402,0.011799
"842",15732,10802010403,0.015732
"843",77601,10802010501,0.077601
"844",62390,10802010502,0.06239
"845",112158,10802010503,0.112158
"846",58156,10802010601,0.058156
"847",92402,10802010602,0.092402
"848",106944,10802010603,0.106944
"849",98881,10802010604,0.098881
"850",169023,10802010605,0.169023
"851",116568,10802010606,0.116568
"852",8329,10802010607,0.008329
"853",35923,10802010608,0.035923
"854",187375,10802010609,0.187375
"855",146697,10802010610,0.146697
"856",45865,10802010701,0.045865
"857",576792,10802010702,0.576792
"858",147839,10802020101,0.147839
"859",6555,10802020102,0.006555
"860",902766,10802020103,0.902766
"861",2564240,10802020201,2.56424
"862",119073,10802020202,0.119073
